activityID,heart_rate,hand temperature (°C),hand acceleration X ±16g,hand acceleration Y ±16g,hand acceleration Z ±16g,hand gyroscope X,hand gyroscope Y,hand gyroscope Z,hand magnetometer X,hand magnetometer Y,hand magnetometer Z,chest temperature (°C),chest acceleration X ±16g,chest acceleration Y ±16g,chest acceleration Z ±16g,chest gyroscope X,chest gyroscope Y,chest gyroscope Z,chest magnetometer X,chest magnetometer Y,chest magnetometer Z,ankle temperature (°C),ankle acceleration X ±16g,ankle acceleration Y ±16g,ankle acceleration Z ±16g,ankle gyroscope X,ankle gyroscope Y,ankle gyroscope Z,ankle magnetometer X,ankle magnetometer Y,ankle magnetometer Z,PeopleId
transient activities,121.0,32.0,-2.33143,9.96777,3.74331,-1.46336,-1.65717,-1.56391,15.4873,-33.6665,-40.1652,36.5,-2.38913,8.65367,-5.41132,0.290412,-1.9447,0.320496,21.9629,-38.1313,18.5053,34.625,13.0633,6.48223,-4.28306,-4.21318,0.258344,-1.88857,-55.2972,-23.8911,5.21973,2
cycling,122.0,32.9375,-2.66672,2.03796,7.69075,0.0979338,0.178168,0.287194,16.3055,5.81009,-54.3628,38.125,0.605229,6.93834,-7.05522,0.17847,0.197373,-0.370436,10.6105,-42.2743,14.2646,32.3125,9.17447,0.622487,-4.40235,0.433236,-0.17064,0.148064,-38.0583,24.9809,21.1019,7
cycling,124.0,32.0,-1.16909,8.14833,4.95996,0.26335,-0.0572557,0.107114,1.53666,-39.2208,-44.5787,36.625,-0.691292,9.4609,-2.16935,0.0275724,-0.069806,0.0273793,-1.13045,-57.8192,-4.79376,34.0,10.0038,0.051087,-0.145444,0.000922683,-0.0105134,0.00742253,-43.6457,-1.28466,16.7532,1
Nordic walking,116.0,33.0625,0.0735135,7.44611,3.9033,0.250636,0.219643,-1.29126,-7.73151,-43.3858,-12.4152,38.3125,-0.541001,11.8281,2.70452,-0.0799812,-0.449161,0.00739287,-5.39735,-37.3928,-18.8695,32.3125,13.2265,15.1593,2.41794,-0.241637,0.198131,-2.46633,-18.2376,37.5593,37.6096,7
transient activities,95.0,34.5625,-8.90748,2.52821,1.89948,-1.19281,-0.463296,1.88239,55.6448,-25.2196,18.8347,38.1875,-0.572832,8.12689,-4.48613,-0.0582973,0.353687,-0.414024,-17.2843,-51.0595,-0.739505,35.4375,10.2073,0.674914,-2.30824,-0.552404,0.130079,-0.796996,-36.4122,30.7479,53.3029,2
vacuum cleaning,136.0,33.625,-6.98263,4.24629,4.77058,-0.700763,-0.35101,2.14897,48.549,-12.9794,12.9143,35.625,-3.36511,1.0526,-10.6703,0.235948,-0.00266734,-0.40037,-4.42295,3.94346,59.348,34.5625,9.68105,0.418689,1.5855,0.0942945,0.0859431,-0.00560645,-73.7714,9.03798,-33.1445,1
transient activities,129.0,33.75,-8.19277,2.87246,2.83272,-0.806542,0.383499,0.635467,50.4665,-14.1186,-35.2825,36.9375,0.386685,9.35587,-0.48448,0.0959037,0.955918,-0.0728502,7.91143,-44.7479,8.47873,34.0,18.163,-1.36018,-10.2792,5.45148,2.50063,3.43653,-90.5692,-6.57808,0.52998,5
lying,72.0,32.75,4.90352,0.505668,8.4636,-0.0285672,-0.00116976,-0.0361037,18.8858,5.55093,-50.4295,34.75,-1.32349,1.48353,9.42269,0.00620921,-0.0284463,-0.0245675,43.239,5.82874,-25.6857,33.4375,2.35321,-9.47859,1.03151,0.0938029,-0.0329608,-0.030355,-21.4094,16.325,-13.011,4
Nordic walking,128.0,30.8125,-0.0963418,-16.5318,3.94316,-1.69827,0.306106,0.523557,27.0281,41.2544,-12.2115,33.9375,2.73428,13.2612,-6.49511,-0.563024,0.385172,0.0813249,7.04392,-40.7365,26.0755,31.75,25.1677,5.47647,-11.2918,2.31397,1.61424,3.64683,-19.5425,43.9535,1.00488,8
lying,73.0,34.8125,0.721123,7.34838,6.26106,-0.0221872,0.00420061,-0.027491,-10.1221,7.73189,-32.6676,36.5625,-0.106754,1.66721,9.32797,-0.017314,-0.00965707,-0.0237773,38.7892,5.35126,-28.675,34.125,-0.497408,-9.1498,-4.51807,-0.0246953,-0.0142382,0.0278014,-13.5283,27.5404,-5.76286,5
sitting,94.0,34.25,-2.02039,-6.89533,6.38351,-0.00846917,0.007213,-0.0481046,6.61081,17.5138,-28.5614,37.5625,0.38761,9.85403,0.791709,0.0987075,0.022446,-0.0535428,5.78253,-25.0517,-5.60734,33.875,9.23836,2.73331,-2.56249,-0.0237386,-0.0356278,0.00790984,-18.2793,15.3829,26.0049,8
transient activities,149.0,33.5625,-1.11923,-7.59526,5.28323,-0.0191422,0.243765,0.0145418,3.6182,20.5253,-32.2481,37.8125,0.561573,9.62389,0.253516,-0.0971608,-0.0705578,-0.0211292,3.35164,-30.3746,-9.40115,33.5625,9.0236,-0.0226726,-4.32271,-0.0237529,0.0417664,0.0251781,-6.58567,-3.95576,-3.57442,8
walking,109.0,30.375,-7.85129,8.64511,-0.491551,-0.774294,-1.1611,-6.1631,40.102,-27.5794,-22.1879,35.3125,2.58797,6.67505,-0.513328,0.631288,-0.292614,-0.0661276,4.86814,-40.3889,17.1751,33.1875,3.82984,-4.73951,0.74712,-0.0333768,-0.544599,2.5735,-20.7214,-37.7335,3.50664,4
walking,111.0,34.625,-6.84979,4.5704,-1.27104,4.53917,-0.282015,2.6274,29.3886,-45.992,-18.7737,38.1875,1.28933,10.1116,0.342557,-0.0132599,-0.00462621,0.0064852,9.97835,-51.7948,14.5963,34.125,11.6364,-2.02529,-2.85568,-0.540412,-0.564993,-1.56601,-40.7314,-18.4065,19.4409,5
Nordic walking,127.0,29.125,-7.24676,10.7625,3.43607,-0.455736,-0.381009,1.24792,26.0598,-33.2867,-27.7678,34.5,3.34983,11.5296,-6.12984,-0.27063,-0.103936,0.334344,5.4825,-40.1225,-12.4331,32.875,10.7652,0.438273,-6.31437,0.196369,-1.56842,-2.79842,-37.8836,26.5994,5.35729,4
ironing,77.0,33.5625,-4.73831,-0.272819,10.5156,-0.234662,-0.239247,-0.256216,2.71092,6.29105,-49.2201,36.4375,-0.971521,9.57158,-2.63944,-0.0845688,0.0564281,0.0186171,4.37714,-39.5783,-0.599487,32.6875,9.48918,-1.52404,-2.1476,0.00915404,0.00633965,0.0146919,-34.311,-1.27244,44.406,7
transient activities,100.0,31.375,-7.92699,2.72902,3.99181,-0.00888339,-0.659751,0.145943,36.0677,-0.677991,-14.4689,36.3125,0.686481,9.57954,-0.67338,-0.0631437,-0.0835461,0.0456322,5.91039,-25.8475,10.7546,34.8125,9.54895,1.28315,-1.89429,-0.00321153,-0.0128391,0.0751353,-28.7798,0.396461,5.41971,6
sitting,95.0,32.5,-0.615427,7.84744,5.73902,0.00762153,0.0182028,0.00593861,-33.8244,-20.8068,-47.6786,34.1875,0.763882,9.73884,0.644017,0.00921313,0.0110346,0.00495805,12.8381,-60.9665,-41.482,32.875,9.115,1.03676,-3.94245,0.0151982,0.0389822,-0.0251607,-84.4347,37.7854,16.0182,1
descending stairs,116.0,32.25,-9.02587,0.852888,5.36722,0.0653632,-0.158148,-0.416799,48.6981,-13.889,-69.3803,36.5625,-0.114406,6.95653,0.830753,0.735685,-1.1166,-0.0566094,19.8472,-46.7347,-10.4668,34.1875,19.8328,-9.89403,1.32912,-2.11742,-1.69547,-2.53472,-35.7599,-20.2793,30.5969,3
transient activities,101.0,33.9375,-9.61585,2.76341,2.119,-0.182526,0.0292101,-0.0488321,36.8557,-11.8798,-1.2794,37.6875,0.620299,9.92073,-0.365921,-0.0062677,0.00479288,-0.0790368,-8.532,-24.0245,10.3617,32.75,9.76557,0.181276,-1.96241,0.00508084,-0.0138857,0.00976506,-28.4548,-3.93466,26.5589,7
