activityID,heart_rate,hand temperature (°C),hand acceleration X ±16g,hand acceleration Y ±16g,hand acceleration Z ±16g,hand gyroscope X,hand gyroscope Y,hand gyroscope Z,hand magnetometer X,hand magnetometer Y,hand magnetometer Z,chest temperature (°C),chest acceleration X ±16g,chest acceleration Y ±16g,chest acceleration Z ±16g,chest gyroscope X,chest gyroscope Y,chest gyroscope Z,chest magnetometer X,chest magnetometer Y,chest magnetometer Z,ankle temperature (°C),ankle acceleration X ±16g,ankle acceleration Y ±16g,ankle acceleration Z ±16g,ankle gyroscope X,ankle gyroscope Y,ankle gyroscope Z,ankle magnetometer X,ankle magnetometer Y,ankle magnetometer Z,PeopleId
cycling,120.0,30.6875,-5.06613,3.70827,5.68632,-0.268123,0.00675989,-0.110002,28.5949,-28.7154,-41.1863,34.6875,0.63831,9.50473,-6.17238,0.0045519,0.421947,-0.41735,-8.46887,-40.151,13.6968,31.875,10.5498,-2.48504,-1.51333,0.0244981,0.288294,0.982356,-43.7754,10.1598,6.49029,8
lying,78.0,32.625,4.71431,0.0904665,8.53914,0.0694319,-0.0354866,-0.00919247,20.3496,7.08657,-49.6544,34.5,-0.412117,1.93147,9.28286,0.00692922,-0.0833163,-0.0617279,39.949,5.43757,-28.8085,33.25,1.83966,-9.59239,1.41285,0.0582884,-0.00340896,0.0265459,-20.9078,16.2975,-13.8602,4
transient activities,128.0,33.8125,2.09146,9.46,1.77144,-0.00887878,0.0358304,-0.0112554,-34.1976,-31.3797,-2.30692,36.0625,-0.0208154,9.76503,-1.42249,-0.0291262,0.0252033,-0.0427857,-27.0906,-41.0054,-13.5003,34.875,9.81793,-0.55651,0.0107785,-0.0496443,0.00599568,0.0137462,-16.2209,25.3175,17.6791,1
walking,115.0,31.0,-9.46426,2.32621,0.0444287,-0.280534,-0.789622,2.67842,-0.780464,-36.5927,-26.9331,37.0,0.683859,11.478,1.64366,-0.19324,-0.21607,-0.116848,-6.69687,-33.6381,-13.7938,34.625,13.1918,-0.987068,-0.993868,-0.568381,-0.581035,-1.91836,-36.8665,15.8964,26.0407,3
standing,93.0,32.5625,-8.94696,2.91658,2.85976,-0.0307623,0.0464573,-0.00618455,32.0311,-13.5834,-9.47013,35.75,0.217972,9.55832,1.5253,0.0120479,-0.0161979,-0.0219529,-5.00321,-28.0478,-8.12192,33.5,9.74346,-0.0511168,-1.38235,0.0685693,-0.0267032,0.0113874,-6.48056,-2.46505,23.6158,3
walking,120.0,33.1875,-11.073,1.52917,2.8326,-2.70522,-0.820699,4.35789,95.3465,-15.6891,-12.8797,37.25,-0.393747,6.6736,-2.1549,0.442258,0.199639,-0.685122,-5.50308,-75.7167,49.7855,34.6875,9.88461,1.06388,-3.20153,-0.270193,0.157335,-0.444666,-78.8772,-61.1048,3.90164,1
transient activities,95.0,35.1875,-10.1527,2.28296,3.07476,-0.440923,0.65149,-0.871894,45.4379,6.77192,-2.85345,37.75,-0.810448,12.3954,-2.60698,0.478472,-0.062124,0.33134,4.11146,-42.0381,17.7432,34.3125,7.36032,-2.98415,-3.04793,-0.750277,-0.740241,-1.77223,-20.6846,-19.2787,19.0869,5
sitting,92.0,32.5625,-7.80509,4.13156,3.95042,0.0180288,0.0203185,-0.0147471,-1.66572,-49.4595,-29.3762,34.25,1.1417,9.77453,0.534582,-0.0343588,-0.00146142,0.00946505,11.9909,-62.964,-39.9041,32.9375,9.00272,1.03747,-3.94361,-0.00351143,-0.0399183,-0.019648,-85.2221,37.925,15.9024,1
transient activities,106.0,28.875,-5.76656,3.42501,7.33174,0.900831,-0.119898,0.00646138,47.237,-25.7328,-31.3998,34.125,0.930339,7.65695,-6.43213,0.0366858,-0.0428393,-0.00266115,-8.32436,-26.1336,46.4723,32.75,9.67008,1.91561,-0.391975,0.0649262,-0.00784529,0.0147056,-32.3727,-18.8426,12.9465,4
rope jumping,178.0,28.5,-10.2,3.09452,0.454177,-2.22956,0.498134,-0.381299,45.6305,-12.0715,6.24525,32.1875,0.419151,10.2313,-4.62988,-0.0962951,0.071953,0.0198093,-19.5058,-35.8045,13.2213,30.3125,9.90201,-0.462247,-2.30432,0.0624856,-0.00886171,-0.223207,-36.9096,0.437978,35.5309,2
transient activities,123.0,28.875,-0.14606,6.24752,5.44355,-0.0907433,-0.423702,-0.214333,14.8025,-19.7786,-26.1209,34.25,1.18334,9.81284,0.651375,0.00695941,0.0179062,0.0261787,5.78966,-25.4552,9.90548,32.75,9.44215,0.228209,-2.81498,0.00936552,0.0171764,-0.0316825,-25.6674,0.253816,9.68579,4
transient activities,153.0,34.125,-7.51587,-6.32804,1.37289,0.115706,-0.208654,0.0794086,28.2279,18.4891,0.259916,38.0,-1.21977,10.969,-2.14511,0.0881721,0.222358,-0.0486378,5.22371,-22.993,18.4888,34.0625,9.20873,0.0147529,-4.39822,-0.0506045,-0.00590643,0.106585,-8.24297,32.4346,-3.05514,8
running,157.0,30.9375,-31.81,45.7886,7.87636,3.44775,-3.60638,-6.85537,31.146,-35.0359,-38.1605,34.0625,1.59112,19.7172,-4.52332,0.423053,-1.99434,0.281839,20.7294,-52.9869,10.1312,33.25,10.9385,1.37039,-4.35031,0.302119,0.78106,-0.672057,-45.6396,-42.5827,-25.632,1
vacuum cleaning,99.0,34.75,-9.73139,-2.01916,-2.40811,-1.20497,1.91862,1.83712,45.8911,13.3212,-8.2746,38.25,1.54499,2.54972,-9.65696,-0.00512706,0.227842,-0.253825,10.5861,-24.114,37.8501,34.75,9.09061,2.0599,-3.67893,-0.0402813,0.0642811,-0.0471262,-2.25022,-9.7337,31.3382,8
transient activities,102.0,33.1875,-6.95719,1.61017,2.77851,0.97597,-0.0102074,0.143844,27.4588,-11.4302,-54.7602,34.8125,1.17685,8.93711,-0.778571,0.254141,-0.0621658,0.31329,40.2571,-51.5426,0.868397,33.5625,13.4512,0.847983,-2.73913,0.783607,-2.62306,3.85908,-63.8472,46.1168,-1.63788,1
ironing,95.0,33.25,3.6882,6.32507,0.535849,-1.139,-0.164704,0.320133,-58.1401,-63.5956,-3.88442,35.0625,-0.0359119,9.52707,-3.20316,-0.0231722,-0.332587,-0.0631956,-19.7414,-60.1729,-9.36955,33.875,9.61246,-1.52797,-1.76042,-0.114388,0.0471764,0.143151,-55.9891,-5.36716,49.9833,1
standing,101.0,33.125,1.88111,9.45609,1.1525,0.164627,-0.104986,0.017382,18.8842,-62.2681,-31.4856,34.75,0.633298,9.50098,-1.17746,0.0347496,-0.00250349,0.0249503,28.7561,-59.7998,17.1082,33.5625,9.72244,-1.76685,-0.484354,-0.00613731,0.00697695,0.022535,-44.4644,37.4852,-60.1883,1
transient activities,81.0,34.25,-5.23519,1.9335,2.26439,1.72,0.214897,0.668036,31.0652,14.9825,-6.4174,37.5,0.348405,5.40471,-0.123842,0.158534,0.099877,0.282595,-2.12367,-26.0785,21.8393,33.1875,4.75469,-4.26459,-2.33351,1.69705,-2.26445,4.04051,-29.3255,-16.3492,-6.76034,7
sitting,79.0,32.9375,-2.80886,5.60139,7.21475,-0.0553936,-0.0506392,0.00623565,9.94956,-20.7589,-23.743,35.0625,0.887069,8.8951,-1.5581,0.231121,0.0793682,-0.0220385,2.90331,-24.6984,4.66394,33.875,9.66379,1.76534,-0.584055,0.0171882,-0.0122054,0.0523506,-6.13648,-5.83394,21.9591,4
sitting,72.0,34.375,-2.18785,-9.57008,-0.0758566,0.014969,0.0390278,-0.00164913,7.37311,24.4337,-12.0697,37.625,0.290096,9.58603,0.0938365,0.037187,-0.0333043,0.0101972,6.50904,-24.1778,-3.63319,34.0,9.16512,2.61924,-2.48536,-0.0184889,0.0211257,0.0131823,-19.5742,15.8312,25.1489,8
descending stairs,131.0,33.8125,-3.01891,8.23884,4.97044,0.312538,0.204572,0.0786071,22.6918,-8.66379,-53.75,36.6875,-1.3465,9.31075,-2.41306,0.0439019,0.134837,-0.165106,23.8836,-46.4281,-22.0501,34.9375,9.98112,-0.295212,0.435316,-0.0813836,-0.110246,0.0527472,-20.2789,28.6219,20.5945,1
transient activities,102.0,29.9375,-7.32358,6.21807,4.33546,-0.687468,-0.291578,1.81264,34.1125,-37.071,-33.5354,35.125,0.793146,9.84961,0.334419,0.0185963,0.124986,0.00628808,-0.773557,-39.888,-15.862,33.0625,9.58869,1.0921,-1.77692,-0.000564512,0.0431136,0.0733038,-94.2519,-1.78826,34.4093,4
lying,73.0,32.75,5.30877,0.537714,8.16166,0.00163302,-0.0206909,-0.0355038,18.1267,6.70814,-50.6974,34.75,-0.74605,1.48304,9.62676,0.0255965,-0.0130864,-0.0136631,41.0803,5.39403,-27.1083,33.4375,2.30848,-9.40016,0.760442,0.0318609,-0.000459445,-0.0113075,-21.0313,16.6933,-12.7264,4
vacuum cleaning,103.0,34.5,-11.9796,-0.935203,2.25002,-0.371138,0.469428,0.142569,32.4454,-22.2807,-20.4471,38.0,-0.424404,4.996,-10.7848,0.162907,0.230948,0.0106708,5.19498,-18.4475,28.9417,35.25,9.46865,1.49199,0.496148,1.05504,-0.148879,0.160145,2.90736,5.23673,-8.43751,2
walking,119.0,32.75,-16.0788,-2.26183,3.03982,0.713331,2.58344,3.17213,38.151,7.50851,-39.1944,37.3125,3.05967,13.6674,-1.96019,0.01218,0.130177,0.0634711,-12.753,-36.2267,-11.172,32.9375,4.69077,-13.1548,-1.58438,0.357899,1.04015,1.82923,-39.666,22.935,-1.31084,8
walking,124.0,32.875,-15.7901,-0.838194,1.26892,0.344828,-0.645597,-3.37938,46.9428,-15.7865,-27.2601,37.375,-1.26459,11.4568,-2.41855,0.216218,0.486223,0.176089,-17.4314,-40.0667,2.77665,33.0,9.29026,-3.14386,-3.56741,0.978031,0.0125456,1.17055,-47.6651,-4.70772,7.06118,8
vacuum cleaning,108.0,34.625,-4.17989,3.30636,-0.264597,0.483553,-0.839528,-2.35437,36.0847,-5.74244,21.5193,38.1875,1.36324,1.41463,-10.5471,0.0711453,-0.548421,-0.0807607,5.20675,12.9657,40.7042,34.625,10.2041,0.268265,-3.65639,-0.113538,-0.029532,0.400812,-19.9776,14.2921,20.3269,8
lying,82.0,31.75,7.10936,1.41953,6.5307,0.0165846,0.00852738,-0.0168178,-2.31035,23.8202,-55.3123,33.5625,0.695188,0.0845618,9.54125,-0.0301294,-0.0145007,-0.0281032,45.869,13.0596,-45.6614,32.1875,-0.00656156,-7.04131,-7.38175,0.0123748,0.00198035,-0.00109529,-19.6492,44.415,0.829387,1
cycling,130.0,34.0,-6.15812,6.96739,12.7406,0.252022,-0.0691636,0.287071,3.90727,-16.9797,-50.3938,37.3125,-0.854117,10.5792,-3.91838,0.229566,0.406872,-0.141752,-2.1403,-41.9327,14.174,34.0625,8.6297,3.81541,-4.42775,0.40443,-0.340905,-1.1132,-44.4253,-5.98778,20.6899,5
ironing,102.0,33.25,-3.34857,7.63813,5.39089,0.0602785,-0.13153,0.0912016,15.6099,-18.8765,-48.4554,34.9375,-1.98657,9.11766,-3.43077,0.0501818,-0.0017883,0.0653496,17.8853,-52.3766,-9.52357,33.75,9.68177,0.353115,0.312454,-0.00626426,-0.0737894,-0.0057936,-59.7103,-18.9668,36.9957,1
transient activities,107.0,32.875,-8.84885,3.40421,2.32077,-1.14104,0.619299,0.606122,37.9011,-7.85915,-28.8646,35.0,2.11177,10.36,-1.50196,-0.178909,1.35659,0.467024,15.4715,-35.3476,1.99176,33.75,11.3437,2.22291,-2.11325,-0.108444,-0.0102004,0.472691,-35.1561,14.537,21.2661,4
transient activities,136.0,33.75,-7.97257,4.28012,3.44707,0.0734581,-0.0270437,-0.00886733,25.5562,-29.2835,-11.764,36.4375,0.312121,9.83693,-1.76519,-0.0694718,0.0282782,-0.00309715,-21.0892,-36.514,-1.14533,34.8125,9.3279,-3.53511,-2.17537,0.0639864,-0.0110082,0.0193999,-39.3047,9.36024,17.8215,1
