activityID,heart_rate,hand temperature (°C),hand acceleration X ±16g,hand acceleration Y ±16g,hand acceleration Z ±16g,hand gyroscope X,hand gyroscope Y,hand gyroscope Z,hand magnetometer X,hand magnetometer Y,hand magnetometer Z,chest temperature (°C),chest acceleration X ±16g,chest acceleration Y ±16g,chest acceleration Z ±16g,chest gyroscope X,chest gyroscope Y,chest gyroscope Z,chest magnetometer X,chest magnetometer Y,chest magnetometer Z,ankle temperature (°C),ankle acceleration X ±16g,ankle acceleration Y ±16g,ankle acceleration Z ±16g,ankle gyroscope X,ankle gyroscope Y,ankle gyroscope Z,ankle magnetometer X,ankle magnetometer Y,ankle magnetometer Z,PeopleId
lying,80.0,31.5,-0.53341,6.86379,6.12844,-0.398992,-0.110491,0.0566366,7.33883,-41.2295,-16.0819,34.0625,0.401981,9.66913,1.29594,-0.0879735,0.041198,0.00364183,4.54694,-36.4222,17.3853,32.0625,9.86161,0.4408,-1.26842,-0.032089,-0.0275548,-0.0227582,-44.0664,-54.1173,25.229,3
transient activities,89.0,30.9375,-9.41607,4.7438,3.11599,-2.28138,1.57769,-1.52114,43.0517,-25.8824,-8.22443,32.875,-0.918948,11.7284,-1.05794,-0.299331,0.295143,-0.109698,-17.171,-37.5544,12.764,31.0,7.27286,-11.5359,-1.87666,1.30408,-0.0540458,-1.06718,-40.3723,-47.7697,36.0352,3
walking,105.0,32.8125,-7.49308,-0.17723,1.85282,-0.139587,0.679243,-1.98676,43.484,-21.9257,-19.7356,37.625,0.467575,5.93228,-0.00723472,0.0536542,-0.00416594,0.200659,-3.91742,-38.4844,-13.9178,32.0,-0.80024,-4.11077,-2.97027,-1.04935,-1.33658,2.97066,-37.1069,-18.7039,23.5671,7
transient activities,102.0,32.9375,-9.11765,3.55667,2.16228,-1.13681,0.312693,-0.0153778,44.519,-39.2191,-10.1209,37.4375,-0.025527,8.83456,-5.36909,-0.0216892,0.130567,-0.0598187,-12.3531,-47.2582,5.46935,35.0625,9.63407,-1.61033,-0.987896,0.328203,0.00982286,-0.457079,-47.2054,27.8344,43.7054,2
sitting,79.0,33.9375,-3.08998,6.09161,6.63157,-0.144754,-0.0424571,0.0563041,6.53479,-25.0175,-20.7585,37.375,1.1452,9.52066,1.96815,-0.108434,0.0265408,-0.0370312,-2.93211,-19.8787,-4.76986,34.6875,9.38431,-3.27471,-1.55897,0.0170127,-0.0128046,-0.000433995,-15.8,-2.54613,21.2156,2
cycling,130.0,28.0625,-8.61345,-1.44302,3.57224,0.0377606,-0.0761515,-0.127903,45.9004,1.53367,-5.05357,33.4375,1.11137,8.36918,-6.81838,-0.0941427,0.0490744,0.120554,-8.24168,-15.2959,39.2201,32.75,1.96982,8.00788,-1.28054,-0.127689,0.0798048,-0.0999891,-5.92145,-33.8149,10.9294,4
cycling,134.0,29.4375,-10.185,-1.56735,9.47618,0.0964917,-0.0358052,0.0822308,16.6093,-0.284622,-51.0457,35.1875,-0.916573,6.26638,-6.92573,0.387413,0.398104,-0.588433,-0.675391,-37.8691,23.0444,34.25,15.3502,3.19637,-3.50602,-0.439468,-0.37649,-1.74831,-45.4378,12.2186,21.6581,6
ironing,87.0,34.375,-4.69219,1.80218,9.23919,-1.38779,0.316848,0.0525042,-10.5315,-9.51801,-40.5328,37.75,-1.20728,8.76294,-5.39027,-0.0246674,0.932705,-0.38421,-0.9206,-33.6728,5.53858,35.125,9.58345,-2.03522,-0.0596284,0.0766374,-0.0429651,0.035676,-40.402,8.42374,33.2928,2
transient activities,111.0,33.625,-9.47546,2.2391,3.00808,0.313109,0.120229,-0.487301,26.0409,-29.4313,-16.8989,35.8125,0.994184,9.76737,-0.590974,-0.0552535,-0.0453767,0.0617348,-11.2702,-28.9272,-14.1642,34.375,9.52316,0.986464,-2.74168,0.0138521,-0.00679501,0.017732,-19.4923,-4.04832,52.2621,4
walking,112.0,34.6875,-11.42,0.876471,1.67498,-1.89637,-0.295731,2.78857,39.4461,-27.2937,-18.5138,38.25,-1.19768,7.37016,0.228969,-0.0927173,-0.0966443,-0.234747,-5.07493,-37.7961,-14.6348,34.1875,9.63357,0.844884,-4.0903,0.291733,-0.136112,-0.542044,-40.0222,21.6044,21.6663,5
