activityID,heart_rate,hand temperature (°C),hand acceleration X ±16g,hand acceleration Y ±16g,hand acceleration Z ±16g,hand gyroscope X,hand gyroscope Y,hand gyroscope Z,hand magnetometer X,hand magnetometer Y,hand magnetometer Z,chest temperature (°C),chest acceleration X ±16g,chest acceleration Y ±16g,chest acceleration Z ±16g,chest gyroscope X,chest gyroscope Y,chest gyroscope Z,chest magnetometer X,chest magnetometer Y,chest magnetometer Z,ankle temperature (°C),ankle acceleration X ±16g,ankle acceleration Y ±16g,ankle acceleration Z ±16g,ankle gyroscope X,ankle gyroscope Y,ankle gyroscope Z,ankle magnetometer X,ankle magnetometer Y,ankle magnetometer Z,PeopleId
vacuum cleaning,84.0,34.75,-9.41406,-1.61825,4.48454,0.87294,-0.698299,-0.264925,48.8891,10.8048,-6.03447,38.1875,5.6574,7.39647,-3.71262,-0.0889207,-0.457144,-0.106346,6.01644,-28.5802,30.2294,34.75,8.84131,2.16125,-1.94558,0.113621,-0.0959559,-0.997449,-51.6965,18.8409,22.1957,8
lying,71.0,31.25,8.34889,-1.86855,4.82843,0.0339216,0.0295091,-0.0251056,-1.6059,16.955,-40.8126,33.5,1.34786,-0.2927,9.7479,0.0118461,0.0144626,-0.0356937,30.7606,7.14922,-28.4926,31.5625,0.622534,-9.73121,0.745207,0.0280192,-0.0408924,-0.00618261,-16.1202,19.2616,-8.75118,3
transient activities,125.0,31.3125,2.69459,9.36088,3.9361,-0.620383,-0.216908,0.249182,-8.03013,-20.3151,-41.4879,36.75,1.7251,9.43671,0.97218,-0.136886,0.171298,-0.197377,13.3313,-31.84,-14.7132,34.5,9.87798,-0.427896,-1.8417,-0.0285871,0.0486099,-0.243389,-44.6981,28.6566,7.92156,3
lying,68.0,30.4375,0.405866,4.48871,8.6522,-0.00199397,0.0167727,-0.00927389,-5.51497,16.5446,-33.2553,33.0,0.88582,2.26657,9.34401,0.0360867,-0.0157471,-0.00424413,35.5358,3.92834,-33.0607,30.3125,-0.984957,-8.91826,-4.60168,0.00337493,0.0129393,0.00528571,-12.9379,29.0517,-7.18086,7
transient activities,128.0,32.0625,1.44706,10.5725,2.56627,0.253358,1.02447,0.368351,19.6452,-58.589,-33.3063,36.75,-0.150427,9.6114,-1.92772,-0.0137496,-0.0592225,0.0615075,24.5098,-44.6825,29.0768,34.0,9.58019,-2.44187,-1.40777,-0.00530334,-0.0198892,0.0207098,-69.2736,-10.8758,-24.234,1
vacuum cleaning,98.0,35.375,-2.62255,3.70565,7.53183,-0.0953102,-0.0883538,-0.601311,2.20732,-15.5187,-42.6565,37.6875,-1.56857,9.65164,-2.22459,0.474234,-1.00251,-0.396391,12.9642,-38.5989,-6.8905,34.375,10.1787,1.08019,-0.76747,-0.791079,0.964768,1.02279,-48.4528,4.28631,-12.383,5
walking,104.0,34.4375,-9.16078,3.1769,2.08594,0.449243,-0.0958538,-0.225107,34.2447,-19.4462,-18.5509,38.0625,1.24915,9.61333,-0.973064,-0.233715,-0.486144,0.0321699,2.44273,-33.6979,-5.8635,33.8125,9.22935,-0.257452,-3.62453,-0.040444,-0.135278,0.0526202,-29.4027,17.5837,16.6023,5
ironing,96.0,33.3125,0.340243,9.39565,5.74811,1.38225,0.610425,-0.13915,38.9257,-75.2632,-76.0635,35.125,1.36811,9.3331,-3.3707,-0.046958,-0.711296,0.173856,-30.7204,-66.1634,1.48779,33.875,9.66854,-0.268091,-2.65522,-0.105922,0.0221138,0.109853,-52.7426,-20.4983,50.9094,1
transient activities,97.0,33.5,5.22754,5.0046,2.71866,2.03403,0.429445,0.425877,-41.0254,1.18477,-32.893,37.6875,-0.226764,8.84149,-4.44346,0.211792,0.481556,-0.423443,-17.5106,-46.329,8.21164,35.125,9.52371,-1.87636,-0.871608,0.0412083,-0.208559,-0.059711,-46.1062,31.1732,46.9502,2
cycling,128.0,31.0625,-3.68215,-2.75416,5.53641,-1.65058,0.357531,0.178232,19.4288,-14.9553,-52.2747,35.6875,1.26489,7.62508,-5.41922,0.245944,-0.784814,1.53833,-11.4359,-39.9127,13.8158,32.0,11.6485,-2.02882,-2.43104,0.168751,0.766782,1.91754,-41.3788,-9.89969,11.7698,8
